Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1961,1961,1000 Int. $,4230.831656,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1962,1962,1000 Int. $,3399.805646,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1963,1963,1000 Int. $,3354.130934,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1964,1964,1000 Int. $,3593.923172,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1965,1965,1000 Int. $,3383.312,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1966,1966,1000 Int. $,3806.226,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1967,1967,1000 Int. $,4229.14,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1968,1968,1000 Int. $,4229.14,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1969,1969,1000 Int. $,4652.054,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1970,1970,1000 Int. $,3806.226,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1971,1971,1000 Int. $,4229.14,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1972,1972,1000 Int. $,4652.054,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1973,1973,1000 Int. $,5920.796,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1974,1974,1000 Int. $,5497.882,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1975,1975,1000 Int. $,5920.796,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1976,1976,1000 Int. $,6343.71,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1977,1977,1000 Int. $,5497.882,*,Unofficial figure
QV,Value of Agricultural Production,3,Albania,154,Net Production Value (constant 2004-2006 1000 I$),515,Apples,1978,1978,1000 Int. $,5920.796,*,Unofficial figure
